,gene_id,TCGA-OR-A5J1-01A-11R-A29S-07,TCGA-OR-A5J2-01A-11R-A29S-07,TCGA-OR-A5J3-01A-11R-A29S-07,TCGA-OR-A5J5-01A-11R-A29S-07,TCGA-OR-A5J6-01A-31R-A29S-07,TCGA-OR-A5J7-01A-11R-A29S-07,TCGA-OR-A5J8-01A-11R-A29S-07,TCGA-OR-A5J9-01A-11R-A29S-07,TCGA-OR-A5JA-01A-11R-A29S-07,TCGA-OR-A5JB-01A-11R-A29S-07,TCGA-OR-A5JC-01A-11R-A29S-07,TCGA-OR-A5JD-01A-11R-A29S-07,TCGA-OR-A5JE-01A-11R-A29S-07,TCGA-OR-A5JF-01A-11R-A29S-07,TCGA-OR-A5JG-01A-11R-A29S-07,TCGA-OR-A5JI-01A-11R-A29S-07,TCGA-OR-A5JJ-01A-11R-A29S-07,TCGA-OR-A5JK-01A-11R-A29S-07,TCGA-OR-A5JL-01A-11R-A29S-07,TCGA-OR-A5JM-01A-11R-A29S-07,TCGA-OR-A5JO-01A-11R-A29S-07,TCGA-OR-A5JP-01A-11R-A29S-07,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JS-01A-11R-A29S-07,TCGA-OR-A5JT-01A-11R-A29S-07,TCGA-OR-A5JV-01A-11R-A29S-07,TCGA-OR-A5JW-01A-11R-A29S-07,TCGA-OR-A5JX-01A-11R-A29S-07,TCGA-OR-A5JY-01A-31R-A29S-07,TCGA-OR-A5JZ-01A-11R-A29S-07,TCGA-OR-A5K0-01A-11R-A29S-07,TCGA-OR-A5K1-01A-11R-A29S-07,TCGA-OR-A5K2-01A-11R-A29S-07,TCGA-OR-A5K3-01A-11R-A29S-07,TCGA-OR-A5K4-01A-11R-A29S-07,TCGA-OR-A5K5-01A-11R-A29S-07,TCGA-OR-A5K6-01A-11R-A29S-07,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K9-01A-11R-A29S-07,TCGA-OR-A5KO-01A-11R-A29S-07,TCGA-OR-A5KT-01A-11R-A29S-07,TCGA-OR-A5KU-01A-11R-A29S-07,TCGA-OR-A5KV-01A-11R-A29S-07,TCGA-OR-A5KW-01A-11R-A29S-07,TCGA-OR-A5KX-01A-11R-A29S-07,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KZ-01A-11R-A29S-07,TCGA-OR-A5L3-01A-11R-A29S-07
0,?|100130426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3861,0.0,0.0,0.0,1.5256,0.0,0.0,0.0,0.4392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8637,1.2937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,?|100133144,3.2661,2.6815,1.7301,0.0,0.0,1.1673,1.4422,0.0,4.4556,7.1293,2.6463,4.3811,0.0,2.7763,0.0,1.4709,1.1914,7.8032,7.7097,2.5862,3.5634,0.0,0.7485,3.1549,1.3873,7.7887,3.6241,4.3835,4.9359,0.0,4.8564,1.8235,0.8281,1.287,4.3467,3.8827,13.0179,0.0,0.0,1.1126,0.6607,0.9634,2.7957,0.0,9.5747,0.6836,2.1206,6.3758,0.0
2,?|100134869,3.9385,8.9948,6.565,1.5492,4.4709,6.0529,2.2876,1.3599,5.0581,0.0,6.2595,4.1141,2.8281,4.5603,5.9116,5.0046,3.7171,1.3501,4.0357,0.0,1.8357,9.2227,1.2422,1.5399,6.0118,9.2668,2.0872,8.3414,11.2794,2.687,5.2191,2.9334,0.8281,3.0317,9.8836,4.5214,7.6527,7.0671,7.2569,1.0862,8.2427,0.0,7.6696,15.4261,22.8271,19.3929,5.8484,6.9576,5.5804
3,?|10357,149.135,81.0777,86.4879,53.9117,66.9063,103.506,94.9316,78.1955,69.2389,155.709,112.366,50.9709,65.0,97.7507,104.001,68.1776,55.6136,69.1915,144.759,154.129,96.6664,107.334,72.969,70.9953,66.6334,73.1304,60.945,62.9311,103.603,83.1706,77.9782,47.0349,84.3914,59.5984,33.6352,74.6557,57.4598,121.267,82.2061,120.361,130.009,87.3025,43.2293,75.6653,150.555,73.2218,119.942,107.8,92.5446
4,?|10431,2034.1,1304.93,1054.66,2350.89,1257.99,1866.43,995.027,1762.12,1213.53,2005.57,2547.71,1629.85,2098.42,1630.27,1112.99,1848.29,1599.29,2337.91,1542.87,1510.34,887.621000000001,1935.88,961.083,853.521000000001,1505.36,862.726,573.209,2134.71,2075.56,1285.71,738.203,1095.14,1026.01,3107.75,1481.24,623.018,1747.36,1677.44,1081.28,1437.99,1050.14,1061.66,1322.37,1714.62,1128.66,725.621,2492.09,1105.45,2170.76
5,?|136542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,?|155060,274.255,199.302,348.393,439.194,149.215,64.5808,377.953,274.364,243.129,93.5725,156.488,253.641,40.1584,237.861,124.681,42.5532,204.373,140.351,49.3305,40.9483,118.241,38.2082,57.7287,138.498,84.3507,119.389,147.456,167.617,461.164,116.883,63.8119,80.8668,90.2626,49.2334,113.842,95.8058,67.5241,66.1282,110.305,136.763,156.982,50.0963,81.4801,162.746,106.926,172.562,95.1854,85.4545,138.393
7,?|26823,1.4409,0.0,0.5925,0.7746,0.0,0.0,1.6577,0.0,2.1142,0.0,0.0,0.6068,0.0,0.0,0.5374,0.0,0.8925,0.0,0.0,0.0,0.0,0.4392,0.3981,1.4085,2.2198,0.9475,1.0384,1.7552,0.0,1.3435,3.3585,0.0,0.0,0.0,1.2937,2.8013,0.4593,0.0,0.0,0.0,0.9372,0.0,0.7475,0.3857,2.7001,0.0,0.4427,0.0,1.1161
8,?|280660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5256,0.0,1.2931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5285,0.0,1.7275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,?|317712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
